variety,country,province,winery,price,points,expert wine description
Pinot Noir,US,California,Calera,48.0,93.0,"Hard cinnamon candies, cherry juice, pomegranate extract and a touch of balsamic vinegar combine for sharp, nose-tickling aromas on this organically grown wine from pioneering vintner Josh Jensen. The flavor-forward palate explodes with dark fruits, noticeable tannins and solid acidity, showing allspice, Vietnamese coffee and black tea elements."
Chardonnay,US,Washington,Owen Roe,48.0,93.0,"This wine displays a fascinating aroma profile of lees, lemon and custard. There's a real sense of vibrancy and energy in its creamy texture, with lively acidity drawing out the fruit tones. The balance is spot-on with outrageous length."
Cabernet Franc,US,Oregon,Sineann,48.0,93.0,"Lovers of Cab Franc should track this wine down; it's a perfect evocation of the grape. Ripe purple plum flavors are annotated with spice and dust; the tannins are ripe and muscular; the wine sits very comfortably in the mouth. Hints of coffee grounds and tobacco liven up the finish, and the core of sweet fruit just keeps on coming."
Cabernet Sauvignon,US,California,Boekenoogen,48.0,93.0,"Dark in the glass, this bottling from deep in the Carmel Valley shows black currant, espresso, slate and dense violets on the nose. The solidly thick structure makes for a luxurious mouthfeel, a great format to enjoy prominent flavors of blueberry, blackberry, pepper, cedar and crushed coffee beans."
Chardonnay,US,California,Testarossa,48.0,93.0,"Apple cream, squeezed tangerine and a touch of popcorn make for nice, easy and yet layered aromas on the nose of this bottling by the Los Gatos-based single-vineyard-focused winery. Flavors of Gravenstein apples, browned butter and toast pop on the palate, where an intriguing flinty character pushes this into another level."
Petite Sirah,US,California,Vasco Urbano,48.0,93.0,"An unusually dark color, even for this notoriously black varietal, makes this powerful wine stand out from the first glance. Full bodied, it piles on the flavor and layers of tannic texture in a bold but pleasing way. Rich, concentrated blackberry, dark chocolate, wood smoke and baking-spice notes fill the mouth and linger on the long finish. It will be best after 2020."
Rhône-style Red Blend,US,Washington,Betz Family,48.0,93.0,"This wine is a blend of Grenache (33%), Counoise (24%), Syrah (20%), Cinsault (17%) and Mourvèdre. Expressive fruit-laden aromas of red plum, raspberry, blue fruit and herb are followed by plump, pure fruit flavors, with the mouthfeel only adding the appeal. It's a gorgeous interpretation of these varieties."
Rhône-style Red Blend,US,Washington,Rôtie Cellars,48.0,93.0,"Grenache (70%) takes the lead on this blend followed by Mourvèdre (25%) and Syrah. The aromas draw you into the glass with notes of high-toned lightly green herbs, rose hips and raspberries. The ripe red-fruit flavors display a dazzling sense of purity, drinking like a bowl of fresh fruit, with a sprinkling of herbs and spices mixed in. The balance and texture are impressive."
Chardonnay,US,California,La Follette,48.0,93.0,"Greg La Follette shows his mastery with this Chardonnay from cool Manchester Ridge. Dark gold in color, this ethereal wine is punctuated by pretty floral and citrus tones on the nose. On the palate, expect a suggestive core of lemon, guava and lingering minerality, especially through a finish that's flush with acidity."
Gewürztraminer,France,Alsace,Domaine Zinck,48.0,93.0,"The Eichberg vineyard, one of the driest in Alsace, is on a gentle southeast-facing slope. This Gewurztraminer shows the opulent style of wines that are typically produced. It is rich and generous, developing cinnamon and nutmeg flavors balanced by superripe tropical fruits. It still has a way to go, so drink from 2017."
Gewürztraminer,France,Alsace,Domaine Zinck,48.0,93.0,"This is a great example of the power that can come a Grand Cru vineyard. It's opulent and dense, but more than that it has intense energy and drive. Although the wine is marked as medium sweet, the spice and pepper give it a dry, tight, nervy edge. The wine is still young and will be best from 2017."
Syrah,US,California,Roark Wine Co.,48.0,93.0,"Though still very young, this bottling is already compelling. Black currant, black plum, fig, rosemary and game aromas arise on the concentrated nose. The layered palate offers fennel, cracked rainbow peppercorn, black currant jam and hoisin sauce flavors, cut by a vibrant acidity that penetrates into the finish."
Syrah,US,California,Big Basin,48.0,93.0,"Plump black currant, lavender extract, bright purple flowers and touches of raw beef and tar show on the nose of this bottling, made with 20% whole-cluster and 7% Viognier. Black pepper and asphalt show first on the palate, where tannins softly coat the mouth and then stand up to boost elderberry flavors. Thorough, zesty acidity ensures long cellar potential. Drink 2017–2032."
Pinot Noir,US,California,Presqu'ile,48.0,93.0,"From an extreme coastal vineyard three miles north of Cambria comes this exciting wine. Green and Kalamata olives show on the nose, along with crystallized cherry, juniper, fig, unripe strawberry and Mediterranean spice. It explodes with acidic life on the palate, where underripe cherry and tart strawberry flavors mix with green peppercorns, forest underbrush, wet gravel and thyme."
Pinot Noir,US,California,Sojourn,48.0,93.0,"With a small percentage of whole-cluster fermentation, this is a prized, sultry and cohesive wine, nutty in aromas and a sizable pinch of oak that speaks to its youthfulness. Raspberry jam and bitter tea ride over soft waves of integrated tannin and a fierce earthiness. Drink now through 2024."
Pinot Noir,US,California,Arista,48.0,93.0,"The winery's larger offering from several vineyard sites, this wine is designed entirely to please, offering a seductively juicy abundance in black cherry, raspberry and cinnamon. Approachable and full bodied, the tannins are soft and the oak well integrated, allowing the earthy aromas and spicy brown-sugar elements to roam free."
Grenache,US,California,Beckmen,48.0,93.0,"Smoked oregano, black plum, dark berries and loamy soil notes come through on this bottling by one of this appellation's original families. Dark plum, blackberry, crushed black rocks, iron and touches of dried mint and white sage come through on the savory palate. This bottling aims more for power than finesse in this variable grape."
Chardonnay,US,California,Black Kite,48.0,93.0,"Lightly buttered popcorn aromas are cut by lime blossoms, sea salt and jasmine on this delicate while extremely fragrant nose. A laser-like acidity slices through the palate, where pan-seared apple flavors are lifted by lemon pith, mandarin orange skins and orange blossoms."
Riesling,France,Alsace,Domaine Weinbach,48.0,93.0,"Lovely, lifted lemon notes are reminiscent of the purity of citrus oil, with accents of stone and smoke too. The palate of this wine is taut and fresh with a whistle-clean, streamlined drive. it offers laser-sharp acidity clad in mellowing fruit with glints of pink grapefruit and a profound, stony core."
Pinot Noir,US,California,Lazy Creek,48.0,93.0,"Polished but concentrated, fruity but complex, this beautifully shaped wine is simply delicious. While fairly full-bodied, it has an elegant texture, focused black-cherry flavors, harmonious and moderate oak notes. This is so tempting to drink now, but will be best after 2019."
Cabernet Sauvignon,US,Washington,Gramercy,48.0,93.0,"You can almost just smell this wine and be completely satisfied: its earth, black currant, flower, vanilla and sandalwood aromas are so intoxicating. A further venture, however, is rewarded. The dark fruit flavors are dense and full yet still fresh and lively with a finish that sails. It's a compelling example of Washington Cabernet that drinks beautifully now, but a few years (or more) in the cellar will be rewarded as well."
Pinot Noir,US,California,Spell,48.0,93.0,"This wine hangs muscular cherry and berry flavors on a big framework of firm acidity and taut tannins, ready for a long haul in the cellar or tackling a rich dish like Peking duck now. Light whiffs of spicy oak lead to tangy red cherry, raspberry and cranberry flavors. Best after 2020."
Pinot Noir,US,California,Spell,48.0,93.0,"This wine is massively fruity and grandly structured without being heavy or overpowering, but it will need time for the firm tannins to mellow. It smells and tastes like pure, concentrated black cherry and feels full of fine-grained tannins and sour-cherry crispness. It will be best after 2020."
Syrah,US,Washington,Stolen Horse,48.0,93.0,"A blend of fruit from Loess and Echo Ridge vineyards, the aromas of herbs, smoke and berry provide intrigue, with smoked meat notes lurking in the background. The blueberry flavors are full and palate staining, bringing a real sense of presence and balance."
Pinot Noir,US,California,Buena Vista,48.0,93.0,"Earthy cherry and cardamom instantly attract the nose and palate of this wine, flirty and floral in classically varietal aromas of forest floor and wild truffle. Juicy acidity keeps it alive and vibrant as it opens and develops, offering a welcome twist of tangerine in the background."
Mourvèdre,US,Washington,Mark Ryan,48.0,93.0,"A blend of Ciel du Cheval and Force Majeure vineyards, this wine brings a mix of pomegranate, dark raspberry, dried tobacco, crushed rock and peppery spices. It explodes on the palate with rich, dense, cranberry and spice flavors that linger."
Chardonnay,US,California,Testarossa,48.0,93.0,"Light, clean and citrusy aromas of lemon, lime and grapefruit skin meet with a dollop of white peach and dusting of crushed slate on the nose of this wine. A fine-pointed acidity carries nectarine, pluot and Asian pear flavors across the palate, which trends racy, bright and slightly sour, with a chalky structure."
